简介（方式·小区名 户型 朝向）,区,地铁站,村,面积大小（㎡）,朝向,户型,楼层类型,楼层（层）,标签
整租·君悦静安 1室1厅 南,静安,曹家渡,君悦静安,49,南,1室1厅1卫,中楼层                        ,22,"新上,近地铁,精装,随时看房"
整租·田林六村 2室0厅 南,徐汇,田林,田林六村,41,南,2室0厅1卫,高楼层                        ,6,"新上,近地铁,随时看房"
整租·君悦静安 1室1厅 南,静安,曹家渡,君悦静安,55,南,1室1厅1卫,中楼层                        ,22,"新上,近地铁,精装,随时看房"
整租·长虹小区 1室1厅 南,长宁,新华路,长虹小区,36,南,1室1厅1卫,低楼层                        ,6,"新上,近地铁,精装,随时看房"
整租·金虹苑小区 2室1厅 南,长宁,西郊,金虹苑小区,65,南,2室1厅1卫,高楼层                        ,6,"新上,精装,随时看房"
整租·西成里 1室1厅 南,黄浦,人民广场,西成里,35,南,1室1厅1卫,中楼层                        ,3,"近地铁,精装,随时看房"
整租·大木桥路450弄 1室0厅 南,徐汇,斜土路,大木桥路450弄,31,南,1室0厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·东三街15弄 1室1厅 南,浦东,南码头,东三街15弄,37,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·绿地时代名邸 2室2厅 南,青浦,白鹤,绿地时代名邸,84,南,2室2厅1卫,低楼层                        ,28,"近地铁,精装,随时看房"
整租·名人花苑 2室1厅 南,徐汇,华泾,名人花苑,76,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·巴黎公寓 1室1厅 西,黄浦,新天地,巴黎公寓,46,西,1室1厅1卫,高楼层                        ,3,"近地铁,精装,随时看房"
整租·乐山四五村 2室1厅 南,徐汇,徐家汇,乐山四五村,48,南,2室1厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·东渡青筑 1室1厅 南,青浦,盈浦,东渡青筑,67,南,1室1厅1卫,低楼层                        ,15,随时看房
整租·乐山二村 1室1厅 南,徐汇,徐家汇,乐山二村,33,南,1室1厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·田林三村 2室1厅 南,徐汇,田林,田林三村,48,南,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·舒乐小区 2室1厅 南,徐汇,华东理工,舒乐小区,56,南,2室1厅1卫,中楼层                        ,7,随时看房
整租·君悦静安 1室0厅 西南,静安,曹家渡,君悦静安,35,西南,1室0厅1卫,中楼层                        ,22,"近地铁,精装,随时看房"
整租·新泾七村 2室1厅 南,长宁,北新泾,新泾七村,46,南,2室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·杜鹃园 2室1厅 南,徐汇,康健,杜鹃园,64,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·梅陇十一村 2室0厅 南/北,徐汇,华东理工,梅陇十一村,51,南 北,2室0厅1卫,高楼层                        ,6,随时看房
整租·海丽花园 3室2厅 南,黄浦,打浦桥,海丽花园,116,南,3室2厅2卫,高楼层                        ,33,"近地铁,精装,双卫生间,随时看房"
整租·紫薇园 1室1厅 南,徐汇,康健,紫薇园,73,南,1室1厅1卫,低楼层                        ,24,"精装,随时看房"
整租·虹桥机场新村 2室1厅 南,长宁,西郊,虹桥机场新村,52,南,2室1厅1卫,低楼层                        ,6,"精装,随时看房"
整租·西木小区 1室0厅 北,徐汇,斜土路,西木小区,17,北,1室0厅1卫,低楼层                        ,6,"近地铁,精装,随时看房"
整租·芙江小区 2室1厅 南,长宁,仙霞,芙江小区,53,南,2室1厅1卫,高楼层                        ,6,"新上,近地铁,精装,随时看房"
整租·长兴坊 2室1厅 南,徐汇,康健,长兴坊,55,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·梅陇七村 2室1厅 南/北,徐汇,华东理工,梅陇七村,62,南 北,2室1厅1卫,低楼层                        ,6,随时看房
整租·花苑村玉兰园 2室1厅 南,徐汇,康健,花苑村玉兰园,63,南,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·上海师大新村 1室0厅 南,徐汇,康健,上海师大新村,35,南,1室0厅1卫,中楼层                        ,5,随时看房
整租·昌五小区 1室1厅 南,浦东,世博,昌五小区,38,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·华理苑 2室1厅 南,徐汇,华东理工,华理苑,51,南,2室1厅1卫,低楼层                        ,6,"新上,随时看房"
整租·城东新村一村 2室1厅 南,青浦,夏阳,城东新村一村,49,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·淞虹公寓 1室1厅 南,长宁,北新泾,淞虹公寓,50,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·万春小区 1室0厅 东南,静安,曹家渡,万春小区,35,东南,1室0厅1卫,低楼层                        ,6,"近地铁,精装,随时看房"
整租·振兴小区(徐汇) 1室1厅 南/北,徐汇,徐家汇,振兴小区(徐汇),25,南 北,1室1厅1卫,中楼层                        ,5,"近地铁,精装,随时看房"
整租·延北小区 2室0厅 南,长宁,西郊,延北小区,48,南,2室0厅1卫,高楼层                        ,5,"近地铁,随时看房"
整租·凌云新村 2室1厅 南,徐汇,华东理工,凌云新村,66,南,2室1厅1卫,中楼层                        ,6,随时看房
整租·花苑茶花园 2室1厅 南,徐汇,康健,花苑茶花园,47,南,2室1厅1卫,高楼层                        ,6,"精装,随时看房"
整租·斜土路2200弄 1室1厅 南,徐汇,徐家汇,斜土路2200弄,34,南,1室1厅1卫,低楼层                        ,5,"近地铁,精装,随时看房"
整租·钦州路111弄 2室1厅 南,徐汇,康健,钦州路111弄,35,南,2室1厅1卫,低楼层                        ,7,"近地铁,随时看房"
整租·虹梅小区 1室1厅 南,徐汇,漕河泾,虹梅小区,41,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·沂南路54弄 1室1厅 南,浦东,南码头,沂南路54弄,30,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·云雾山路551弄 2室0厅 南/北,长宁,中山公园,云雾山路551弄,55,南 北,2室0厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·长虹公寓 2室1厅 南,长宁,仙霞,长虹公寓,65,南,2室1厅1卫,高楼层                        ,6,"精装,随时看房"
整租·虹霞小区 1室1厅 南,长宁,仙霞,虹霞小区,36,南,1室1厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·万春小区 1室0厅 南,静安,曹家渡,万春小区,34,南,1室0厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·马克思公寓 1室1厅 西北,静安,南京西路,马克思公寓,66,西北,1室1厅1卫,高楼层                        ,4,"新上,近地铁,精装,随时看房"
整租·世纪之门 1室1厅 西北/北,普陀,长寿路,世纪之门,35,西北 北,1室1厅1卫,高楼层                        ,25,"新上,近地铁,随时看房"
整租·虹梅景苑四街坊 1室1厅 南,闵行,吴泾,虹梅景苑四街坊,68,南,1室1厅1卫,中楼层                        ,13,"新上,随时看房"
整租·河风丽景 2室1厅 南,长宁,天山,河风丽景,88,南,2室1厅1卫,低楼层                        ,19,"新上,近地铁,精装,随时看房"
整租·昌五小区 1室1厅 南,浦东,世博,昌五小区,42,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,精装,随时看房"
整租·齐爱佳苑 1室1厅 南,浦东,唐镇,齐爱佳苑,51,南,1室1厅1卫,中楼层                        ,6,"新上,近地铁,随时看房"
整租·中凯城市之光(静安) 1室1厅 西南,静安,南京西路,中凯城市之光(静安),57,西南,1室1厅1卫,中楼层                        ,34,"新上,近地铁,精装,随时看房"
整租·也宁阁酒店公寓 1室1厅 东南,普陀,长寿路,也宁阁酒店公寓,50,东南,1室1厅1卫,高楼层                        ,2,"近地铁,精装,随时看房"
整租·绿梅一村 1室1厅 南,闵行,莘庄,绿梅一村,30,南,1室1厅1卫,中楼层                        ,6,"精装,随时看房"
整租·华狮国际公寓 1室1厅 南,徐汇,徐家汇,华狮国际公寓,48,南,1室1厅1卫,高楼层                        ,19,"近地铁,精装,随时看房"
整租·龙吴路5599弄 2室1厅 南,闵行,吴泾,龙吴路5599弄,80,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·新华小区 1室1厅 南,闵行,老闵行,新华小区,42,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·蔷薇新村 1室1厅 南,闵行,春申,蔷薇新村,52,南,1室1厅1卫,高楼层                        ,6,"精装,随时看房"
整租·航天新苑 2室2厅 南,徐汇,漕河泾,航天新苑,71,南,2室2厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·电影华苑 1室2厅 南,徐汇,徐家汇,电影华苑,66,南,1室2厅1卫,高楼层                        ,33,"近地铁,精装,随时看房"
整租·上南十二村 1室0厅 南,浦东,世博,上南十二村,37,南,1室0厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·紫藤一村 1室1厅 南,闵行,梅陇,紫藤一村,40,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·月厦新天地 1室1厅 东,松江,松江老城,月厦新天地,48,东,1室1厅1卫,中楼层                        ,18,"近地铁,随时看房"
整租·安临小区 1室1厅 南,浦东,三林,安临小区,35,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·荣乐小区 1室1厅 南,松江,松江老城,荣乐小区,39,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·东江小区 1室0厅 南,闵行,老闵行,东江小区,30,南,1室0厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·青水湾公寓 2室1厅 南,青浦,夏阳,青水湾公寓,81,南,2室1厅1卫,低楼层                        ,11,"近地铁,精装,随时看房"
整租·茶陵路159弄 2室1厅 南,徐汇,斜土路,茶陵路159弄,53,南,2室1厅1卫,高楼层                        ,5,"近地铁,精装,随时看房"
整租·凌兆新村(凌兆路334弄) 2室1厅 南,浦东,三林,凌兆新村(凌兆路334弄),69,南,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·虹梅小区 2室1厅 南,徐汇,漕河泾,虹梅小区,63,南,2室1厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·钦州花苑 2室1厅 南,徐汇,田林,钦州花苑,87,南,2室1厅1卫,中楼层                        ,29,"近地铁,随时看房"
整租·威宁大楼 2室1厅 西南,长宁,仙霞,威宁大楼,75,西南,2室1厅1卫,高楼层                        ,24,"近地铁,精装,随时看房"
整租·上南五村 2室0厅 南,浦东,世博,上南五村,49,南,2室0厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·红枫苑 2室1厅 南,浦东,三林,红枫苑,68,南,2室1厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·三林路380号 2室2厅 南,浦东,三林,三林路380号,95,南,2室2厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·河风丽景 1室1厅 南,长宁,天山,河风丽景,55,南,1室1厅1卫,高楼层                        ,19,"近地铁,随时看房"
整租·钦州花苑 2室1厅 南,徐汇,田林,钦州花苑,86,南,2室1厅1卫,低楼层                        ,29,"近地铁,随时看房"
整租·上南三村 1室1厅 南,浦东,世博,上南三村,30,南,1室1厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·仙霞别墅 2室1厅 南,长宁,仙霞,仙霞别墅,74,南,2室1厅1卫,高楼层                        ,6,"精装,随时看房"
整租·天乐新村 2室1厅 南,松江,松江新城,天乐新村,63,南,2室1厅1卫,低楼层                        ,6,随时看房
整租·愚园路488弄 1室1厅 南,静安,静安寺,愚园路488弄,45,南,1室1厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·红旗五村 2室1厅 西南,闵行,老闵行,红旗五村,57,西南,2室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·金领国际(公寓) 2室2厅 南/北,浦东,曹路,金领国际(公寓),90,南 北,2室2厅1卫,中楼层                        ,11,"精装,随时看房"
整租·南杨小区(长清路) 1室1厅 南,浦东,三林,南杨小区(长清路),41,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·金杨新村四街坊 1室1厅 南,浦东,金杨,金杨新村四街坊,44,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·金杨新村十街坊 2室1厅 南,浦东,金杨,金杨新村十街坊,54,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·金地格林郡 2室1厅 南,青浦,夏阳,金地格林郡,88,南,2室1厅1卫,中楼层                        ,12,随时看房
整租·南江苑 1室1厅 南,浦东,三林,南江苑,49,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·宜山路701弄 2室0厅 南,徐汇,田林,宜山路701弄,52,南,2室0厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·蔷薇新村 1室0厅 南,闵行,春申,蔷薇新村,34,南,1室0厅1卫,高楼层                        ,6,随时看房
整租·德州五村 2室1厅 南,浦东,世博,德州五村,51,南,2室1厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·圣天地酒店式公寓 1室1厅 东南,普陀,长寿路,圣天地酒店式公寓,35,东南,1室1厅1卫,高楼层                        ,23,"新上,近地铁,随时看房"
整租·莲花新村 1室1厅 南,闵行,春申,莲花新村,56,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·高兴花园 1室0厅 南,闵行,春申,高兴花园,37,南,1室0厅1卫,高楼层                        ,6,随时看房
整租·凯旋一村 2室1厅 南/北,徐汇,徐家汇,凯旋一村,47,南 北,2室1厅1卫,低楼层                        ,6,"近地铁,随时看房"
整租·旭辉玫瑰湾 3室2厅 南,青浦,盈浦,旭辉玫瑰湾,90,南,3室2厅1卫,低楼层                        ,14,"新上,近地铁,精装,随时看房"
整租·崧泽华城逸泰雅苑 3室1厅 南,青浦,赵巷,崧泽华城逸泰雅苑,70,南,3室1厅1卫,高楼层                        ,16,"精装,随时看房"
整租·金桥路835弄 2室1厅 南,浦东,金桥,金桥路835弄,59,南,2室1厅1卫,高楼层                        ,7,"近地铁,精装,随时看房"
整租·泾东小区 2室1厅 南,浦东,洋泾,泾东小区,61,南,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·黄山始信苑 2室1厅 南,浦东,金杨,黄山始信苑,55,南,2室1厅1卫,高楼层                        ,5,"近地铁,精装,随时看房"
整租·罗山八村 2室1厅 南/北,浦东,金杨,罗山八村,80,南 北,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·蔷薇新村 1室1厅 南,闵行,春申,蔷薇新村,44,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·世华锦城 1室1厅 南,浦东,三林,世华锦城,52,南,1室1厅1卫,低楼层                        ,18,"近地铁,随时看房"
整租·泾东小区 1室1厅 南,浦东,洋泾,泾东小区,41,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·上钢一村 1室1厅 南,浦东,世博,上钢一村,34,南,1室1厅1卫,中楼层                        ,5,"近地铁,随时看房"
整租·上南六村 1室1厅 南,浦东,世博,上南六村,35,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·临沂五村 2室0厅 南,浦东,南码头,临沂五村,48,南,2室0厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·东泰花苑 3室1厅 南,黄浦,打浦桥,东泰花苑,145,南,3室1厅1卫,低楼层                        ,27,"近地铁,精装,随时看房"
整租·南码头路144弄 1室1厅 南,浦东,南码头,南码头路144弄,34,南,1室1厅1卫,中楼层                        ,5,"精装,随时看房"
整租·月厦新天地 1室0厅 南,松江,松江老城,月厦新天地,48,南,1室0厅1卫,低楼层                        ,18,"近地铁,随时看房"
整租·南天大楼 2室1厅 南,徐汇,徐家汇,南天大楼,74,南,2室1厅1卫,高楼层                        ,18,"近地铁,精装,随时看房"
整租·罗山六村 2室1厅 南,浦东,金杨,罗山六村,68,南,2室1厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·上海花城 2室1厅 南,长宁,中山公园,上海花城,100,南,2室1厅1卫,高楼层                        ,11,"近地铁,随时看房"
整租·金巢铂瑞阁 1室1厅 东,徐汇,斜土路,金巢铂瑞阁,61,东,1室1厅1卫,中楼层                        ,14,"近地铁,精装,随时看房"
整租·凌兆新村(凌兆路726弄) 1室1厅 南,浦东,三林,凌兆新村(凌兆路726弄),50,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·万富汇 1室1厅 南,浦东,三林,万富汇,45,南,1室1厅1卫,低楼层                        ,4,"近地铁,精装,随时看房"
整租·上南三村 1室0厅 南,浦东,世博,上南三村,35,南,1室0厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·金杨新村三街坊 2室1厅 南,浦东,金杨,金杨新村三街坊,58,南,2室1厅1卫,低楼层                        ,7,"近地铁,随时看房"
整租·巨杨小区 2室1厅 南,浦东,洋泾,巨杨小区,53,南,2室1厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·钦州花苑 2室1厅 东南/南/西南,徐汇,田林,钦州花苑,109,东南 南 西南,2室1厅1卫,高楼层                        ,29,"新上,近地铁,随时看房"
整租·金巢铂瑞阁 1室1厅 南,徐汇,斜土路,金巢铂瑞阁,61,南,1室1厅1卫,高楼层                        ,14,"近地铁,精装,随时看房"
整租·金杨新村四街坊 1室0厅 南,浦东,金杨,金杨新村四街坊,37,南,1室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·临沂八村 1室1厅 南,浦东,南码头,临沂八村,37,南,1室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·海院小区 1室0厅 南,浦东,源深,海院小区,34,南,1室0厅1卫,中楼层                        ,6,随时看房
整租·罗山七村 1室1厅 南,浦东,金杨,罗山七村,43,南,1室1厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·虹桥新城 2室2厅 东南/南,长宁,中山公园,虹桥新城,106,东南 南,2室2厅1卫,中楼层                        ,32,"近地铁,随时看房"
整租·济阳一村 1室1厅 南,浦东,世博,济阳一村,42,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·金杨新村十一街坊 2室1厅 南,浦东,金杨,金杨新村十一街坊,60,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·长桥新村 1室1厅 南,徐汇,长桥,长桥新村,36,南,1室1厅1卫,高楼层                        ,5,"新上,精装,随时看房"
整租·荣盛名邸(公寓) 2室2厅 南,松江,莘闵别墅,荣盛名邸(公寓),92,南,2室2厅1卫,中楼层                        ,14,"新上,精装,随时看房"
整租·绿地璀璨天城 3室1厅 南,闵行,老闵行,绿地璀璨天城,96,南,3室1厅2卫,低楼层                        ,26,"新上,精装,双卫生间,随时看房"
整租·中凯城市之光(静安) 1室2厅 南,静安,南京西路,中凯城市之光(静安),64,南,1室2厅1卫,低楼层                        ,29,"新上,近地铁,随时看房"
整租·静安晶华园 2室2厅 南,静安,江宁路,静安晶华园,108,南,2室2厅2卫,高楼层                        ,33,"新上,近地铁,精装,双卫生间,随时看房"
整租·金地自在城(二期) 3室1厅 南,松江,泗泾,金地自在城(二期),96,南,3室1厅1卫,高楼层                        ,16,"新上,精装,随时看房"
整租·平吉二村 2室1厅 南,闵行,古美,平吉二村,62,南,2室1厅1卫,高楼层                        ,6,"新上,近地铁,精装,随时看房"
整租·馨宁公寓 1室0厅 南,徐汇,华泾,馨宁公寓,42,南,1室0厅1卫,中楼层                        ,29,"新上,随时看房"
整租·陇南小区 1室1厅 南,徐汇,华东理工,陇南小区,48,南,1室1厅1卫,中楼层                        ,6,"新上,随时看房"
整租·平南一二村 1室1厅 南,闵行,古美,平南一二村,48,南,1室1厅1卫,高楼层                        ,6,"新上,近地铁,精装,随时看房"
整租·星纳家园 3室2厅 南,浦东,曹路,星纳家园,97,南,3室2厅1卫,高楼层                        ,16,"新上,精装,随时看房"
整租·春申玫瑰苑 2室2厅 南,闵行,莘庄,春申玫瑰苑,100,南,2室2厅1卫,中楼层                        ,12,"新上,精装,随时看房"
整租·万科白马花园(公寓) 2室2厅 南,松江,莘闵别墅,万科白马花园(公寓),64,南,2室2厅1卫,高楼层                        ,5,"新上,精装,随时看房"
整租·盛源花园 3室1厅 南,闵行,梅陇,盛源花园,95,南,3室1厅1卫,高楼层                        ,6,随时看房
整租·高兴花园 2室1厅 南,闵行,春申,高兴花园,70,南,2室1厅1卫,高楼层                        ,6,"精装,随时看房"
整租·莘松七村 2室1厅 南,闵行,莘庄,莘松七村,54,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·金地湾流域（三期366弄别墅/大平层） 2室2厅 南,浦东,三林,金地湾流域（三期366弄别墅,89,南,2室2厅1卫,中楼层                        ,14,"近地铁,精装,随时看房"
整租·中大九里德(公寓) 1室1厅 南,松江,九亭,中大九里德(公寓),52,南,1室1厅1卫,中楼层                        ,15,"精装,随时看房"
整租·航华二村春晖小区 2室1厅 南,闵行,航华,航华二村春晖小区,50,南,2室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·三湘青年 2室1厅 南,松江,泗泾,三湘青年,46,南,2室1厅1卫,中楼层                        ,19,"近地铁,随时看房"
整租·横港路133号 2室1厅 南/北,松江,泗泾,横港路133号,60,南 北,2室1厅1卫,高楼层                        ,4,"近地铁,精装,随时看房"
整租·瑞金尊邸 2室2厅 南,徐汇,斜土路,瑞金尊邸,88,南,2室2厅1卫,中楼层                        ,12,"近地铁,精装,随时看房"
整租·三盛颐景园(公寓) 3室2厅 南,松江,九亭,三盛颐景园(公寓),121,南,3室2厅1卫,高楼层                        ,6,随时看房
整租·上海康城 2室1厅 南,闵行,莘庄,上海康城,92,南,2室1厅2卫,中楼层                        ,8,"双卫生间,随时看房"
整租·三佳花苑 2室1厅 南,闵行,七宝,三佳花苑,52,南,2室1厅1卫,高楼层                        ,5,"近地铁,随时看房"
整租·龙阳花苑 2室2厅 南,浦东,南码头,龙阳花苑,90,南,2室2厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·翠庭 3室2厅 南,长宁,虹桥,翠庭,151,南,3室2厅2卫,低楼层                        ,10,"近地铁,精装,双卫生间,随时看房"
整租·紫晶南园 2室2厅 南,闵行,吴泾,紫晶南园,81,南,2室2厅1卫,中楼层                        ,6,"精装,随时看房"
整租·万科阳光苑 2室2厅 南/北,闵行,吴泾,万科阳光苑,79,南 北,2室2厅1卫,高楼层                        ,6,"精装,随时看房"
整租·艾格美国际公寓 2室1厅 东南/南,静安,南京西路,艾格美国际公寓,139,东南 南,2室1厅2卫,低楼层                        ,32,"近地铁,精装,双卫生间,随时看房"
整租·华泽新苑 3室1厅 南,松江,新桥,华泽新苑,72,南,3室1厅1卫,高楼层                        ,18,随时看房
整租·象屿品城 2室2厅 南,松江,九亭,象屿品城,83,南,2室2厅1卫,低楼层                        ,11,"精装,随时看房"
整租·润江花苑 1室1厅 南,松江,泗泾,润江花苑,60,南,1室1厅1卫,高楼层                        ,11,随时看房
整租·金坤花园 1室1厅 南,闵行,金汇,金坤花园,33,南,1室1厅1卫,中楼层                        ,6,"近地铁,精装,随时看房"
整租·润江花苑 2室1厅 南/北,松江,泗泾,润江花苑,85,南 北,2室1厅1卫,低楼层                        ,6,"精装,随时看房"
整租·龙柏四村三小区 2室1厅 南,闵行,龙柏,龙柏四村三小区,66,南,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·金杨新村八街坊 2室2厅 南,浦东,金杨,金杨新村八街坊,80,南,2室2厅1卫,中楼层                        ,24,"近地铁,精装,随时看房"
整租·荣盛名邸(公寓) 3室2厅 南,松江,莘闵别墅,荣盛名邸(公寓),109,南,3室2厅1卫,低楼层                        ,14,"精装,随时看房"
整租·苗圃路138弄 2室1厅 南,浦东,洋泾,苗圃路138弄,88,南,2室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·上海康城 2室2厅 南,闵行,莘庄,上海康城,95,南,2室2厅2卫,高楼层                        ,8,"双卫生间,随时看房"
整租·佘北家园紫鹃苑 2室2厅 南/北,松江,佘山,佘北家园紫鹃苑,90,南 北,2室2厅1卫,中楼层                        ,20,"精装,随时看房"
整租·新天地河滨花园 2室2厅 南,长宁,天山,新天地河滨花园,86,南,2室2厅1卫,低楼层                        ,26,"近地铁,精装,随时看房"
整租·塘和家园久康苑 2室1厅 南,松江,泗泾,塘和家园久康苑,78,南,2室1厅1卫,中楼层                        ,17,"精装,随时看房"
整租·华唐苑 3室2厅 南,闵行,春申,华唐苑,111,南,3室2厅1卫,低楼层                        ,6,随时看房
整租·罗阳三村 2室1厅 南,闵行,梅陇,罗阳三村,75,南,2室1厅1卫,高楼层                        ,6,"精装,随时看房"
整租·南郊别墅(公寓) 2室1厅 南/北,闵行,颛桥,南郊别墅(公寓),94,南 北,2室1厅1卫,高楼层                        ,4,随时看房
整租·春申景城湖滨晨韵 2室1厅 南,闵行,春申,春申景城湖滨晨韵,64,南,2室1厅1卫,中楼层                        ,17,随时看房
整租·三佳花苑 1室1厅 南,闵行,七宝,三佳花苑,43,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·颛溪八村 1室1厅 南,闵行,颛桥,颛溪八村,45,南,1室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·蒲汇新村 1室1厅 南,闵行,七宝,蒲汇新村,47,南,1室1厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·红明一村 2室1厅 南,闵行,静安新城,红明一村,61,南,2室1厅1卫,高楼层                        ,6,"近地铁,精装,随时看房"
整租·龙柏六村 2室1厅 南,闵行,龙柏,龙柏六村,66,南,2室1厅1卫,中楼层                        ,6,"近地铁,随时看房"
整租·高兴花园 2室1厅 南/北,闵行,春申,高兴花园,70,南 北,2室1厅1卫,高楼层                        ,6,随时看房
整租·静安新城十区 2室1厅 南,闵行,静安新城,静安新城十区,70,南,2室1厅1卫,高楼层                        ,4,"精装,随时看房"
整租·华梅花苑 2室1厅 南,闵行,古美,华梅花苑,58,南,2室1厅1卫,高楼层                        ,6,"近地铁,随时看房"
